isolate_number,isolate_id,species,run,rep,dose,a,b,fungicide,length_mm,control_mean,relative_growth
21,17PR008H.2,Pythium torulosum,2,2,0,44.6,44.1,Mefenoxam,40.35,33.94833333333334,118.85708674947222
21,17PR008H.2,Pythium torulosum,2,3,0,34.34,34.35,Mefenoxam,30.345,33.94833333333334,89.3858314104767
21,17PR008H.2,Pythium torulosum,2,1,0.01,38.79,37.11,Mefenoxam,33.95,33.94833333333334,100.00490942117924
21,17PR008H.2,Pythium torulosum,2,2,0.01,44.23,44.25,Mefenoxam,40.239999999999995,33.94833333333334,118.53306495164217
21,17PR008H.2,Pythium torulosum,2,3,0.01,35.45,37.58,Mefenoxam,32.515,33.94833333333334,95.77789778585104
21,17PR008H.2,Pythium torulosum,2,1,0.1,31.28,30.8,Mefenoxam,27.04,33.94833333333334,79.65044921203788
21,17PR008H.2,Pythium torulosum,2,2,0.1,29.65,28.83,Mefenoxam,25.24,33.94833333333334,74.34827433845548
21,17PR008H.2,Pythium torulosum,2,3,0.1,31.4,30.09,Mefenoxam,26.744999999999997,33.94833333333334,78.78148166331188
21,17PR008H.2,Pythium torulosum,2,1,0.5,18,18.04,Mefenoxam,14.02,33.94833333333334,41.29805095979183
21,17PR008H.2,Pythium torulosum,2,2,0.5,20.8,20.87,Mefenoxam,16.835,33.94833333333334,49.59006333153321
21,17PR008H.2,Pythium torulosum,2,3,0.5,19.01,19.02,Mefenoxam,15.015,33.94833333333334,44.228975403799886
21,17PR008H.2,Pythium torulosum,2,1,1,14.21,14.11,Mefenoxam,10.16,33.94833333333334,29.927831508665125
21,17PR008H.2,Pythium torulosum,2,2,1,12.15,12.13,Mefenoxam,8.14,33.94833333333334,23.97761303942265
21,17PR008H.2,Pythium torulosum,2,3,1,15.46,14.69,Mefenoxam,11.075,33.94833333333334,32.62310373606951
21,17PR008H.2,Pythium torulosum,2,1,10,11.75,12.38,Mefenoxam,8.065000000000001,33.94833333333334,23.75668908635672
21,17PR008H.2,Pythium torulosum,2,2,10,10.52,10.29,Mefenoxam,6.404999999999999,33.94833333333334,18.86690559183072
21,17PR008H.2,Pythium torulosum,2,3,10,10.04,10.05,Mefenoxam,6.045,33.94833333333334,17.80647061711424
22,17PR013G.1,Pythium torulosum,1,1,0,33.56,35.46,Mefenoxam,30.510000000000005,32.58833333333334,93.62246202628752
22,17PR013G.1,Pythium torulosum,1,2,0,36.29,35.89,Mefenoxam,32.09,32.58833333333334,98.47082289162788
22,17PR013G.1,Pythium torulosum,1,3,0,41.2,37.13,Mefenoxam,35.165000000000006,32.58833333333334,107.9067150820846
22,17PR013G.1,Pythium torulosum,1,1,0.01,36.57,36.59,Mefenoxam,32.58,32.58833333333334,99.97442847644861
22,17PR013G.1,Pythium torulosum,1,2,0.01,33.76,36.64,Mefenoxam,31.200000000000003,32.58833333333334,95.73978417634123
22,17PR013G.1,Pythium torulosum,1,3,0.01,36.28,37.52,Mefenoxam,32.900000000000006,32.58833333333334,100.95637498082135
22,17PR013G.1,Pythium torulosum,1,1,0.1,35.87,33.97,Mefenoxam,30.92,32.58833333333334,94.88058098501507
22,17PR013G.1,Pythium torulosum,1,2,0.1,34.2,36.25,Mefenoxam,31.225,32.58833333333334,95.81649874699534
22,17PR013G.1,Pythium torulosum,1,3,0.1,36.45,36.66,Mefenoxam,32.555,32.58833333333334,99.89771390579449
22,17PR013G.1,Pythium torulosum,1,1,0.5,24.07,24.05,Mefenoxam,20.060000000000002,32.58833333333334,61.55577149286554
22,17PR013G.1,Pythium torulosum,1,2,0.5,23.5,22.55,Mefenoxam,19.025,32.58833333333334,58.37978826778498
22,17PR013G.1,Pythium torulosum,1,3,0.5,23.52,19.42,Mefenoxam,17.47,32.58833333333334,53.608141973098746
22,17PR013G.1,Pythium torulosum,1,1,1,17.93,20.27,Mefenoxam,15.100000000000001,32.58833333333334,46.335600675088216
22,17PR013G.1,Pythium torulosum,1,2,1,20.05,18.53,Mefenoxam,15.29,32.58833333333334,46.91863141205952
22,17PR013G.1,Pythium torulosum,1,3,1,14.68,15.57,Mefenoxam,11.125,32.58833333333334,34.137983941083206
22,17PR013G.1,Pythium torulosum,1,1,10,9.57,9.54,Mefenoxam,5.555,32.58833333333334,17.045977599345367
22,17PR013G.1,Pythium torulosum,1,2,10,12.7,12.31,Mefenoxam,8.504999999999999,32.58833333333334,26.098296936531472
22,17PR013G.1,Pythium torulosum,1,3,10,7.76,7.75,Mefenoxam,3.755,32.58833333333334,11.522528512248757
22,17PR013G.1,Pythium torulosum,2,1,0,34.41,33.99,Mefenoxam,30.200000000000003,29.081666666666667,103.84549257837125
22,17PR013G.1,Pythium torulosum,2,2,0,33.37,32.36,Mefenoxam,28.864999999999995,29.081666666666667,99.25497163161211
22,17PR013G.1,Pythium torulosum,2,3,0,32.38,31.98,Mefenoxam,28.18,29.081666666666667,96.89953579001663
22,17PR013G.1,Pythium torulosum,2,1,0.01,33.74,33.7,Mefenoxam,29.72,29.081666666666667,102.19496819301965
