isolate_number,isolate_id,species,run,rep,dose,a,b,fungicide
19,17PR011J.1,Pythium aphanidermatum,2,3,10,0,0,Azoxystrobin
20,16PR008B.1,Pythium torulosum,1,1,0,43.06,42.23,Azoxystrobin
20,16PR008B.1,Pythium torulosum,1,2,0,41.25,41.23,Azoxystrobin
20,16PR008B.1,Pythium torulosum,1,3,0,40.43,41.58,Azoxystrobin
20,16PR008B.1,Pythium torulosum,1,1,0.01,31.74,30.63,Azoxystrobin
20,16PR008B.1,Pythium torulosum,1,2,0.01,31.98,31.99,Azoxystrobin
20,16PR008B.1,Pythium torulosum,1,3,0.01,32.74,32.19,Azoxystrobin
20,16PR008B.1,Pythium torulosum,1,1,0.1,7.69,7.89,Azoxystrobin
20,16PR008B.1,Pythium torulosum,1,2,0.1,12.23,10.2,Azoxystrobin
20,16PR008B.1,Pythium torulosum,1,3,0.1,10.43,10.42,Azoxystrobin
20,16PR008B.1,Pythium torulosum,1,1,0.5,5.46,4.04,Azoxystrobin
20,16PR008B.1,Pythium torulosum,1,2,0.5,4.53,4.21,Azoxystrobin
20,16PR008B.1,Pythium torulosum,1,3,0.5,5.19,4.14,Azoxystrobin
20,16PR008B.1,Pythium torulosum,1,1,1,3.85,1,Azoxystrobin
20,16PR008B.1,Pythium torulosum,1,2,1,0,0,Azoxystrobin
20,16PR008B.1,Pythium torulosum,1,3,1,0,0,Azoxystrobin
20,16PR008B.1,Pythium torulosum,1,1,10,0,0,Azoxystrobin
20,16PR008B.1,Pythium torulosum,1,2,10,0,0,Azoxystrobin
20,16PR008B.1,Pythium torulosum,1,3,10,0,0,Azoxystrobin
20,16PR008B.1,Pythium torulosum,2,1,0,42.5,43.25,Azoxystrobin
20,16PR008B.1,Pythium torulosum,2,2,0,43.4,43.51,Azoxystrobin
20,16PR008B.1,Pythium torulosum,2,3,0,43.46,41.79,Azoxystrobin
20,16PR008B.1,Pythium torulosum,2,1,0.01,32.42,32.79,Azoxystrobin
20,16PR008B.1,Pythium torulosum,2,2,0.01,34.05,34.45,Azoxystrobin
20,16PR008B.1,Pythium torulosum,2,3,0.01,31.8,31.81,Azoxystrobin
20,16PR008B.1,Pythium torulosum,2,1,0.1,12.78,14.35,Azoxystrobin
20,16PR008B.1,Pythium torulosum,2,2,0.1,11.71,11.7,Azoxystrobin
20,16PR008B.1,Pythium torulosum,2,3,0.1,12.81,9.71,Azoxystrobin
20,16PR008B.1,Pythium torulosum,2,1,0.5,9.04,9.29,Azoxystrobin
